"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         227,      -6.824601926,       -3.46822377,      -3.506387378,      0.1778273347
          0,           0,         228,      -6.818521822,      -3.472007681,      -3.510085198,      0.1862375358
          0,           0,         229,      -6.806440602,      -3.475882208,       -3.51176471,      0.1993657059
          0,           0,         230,      -6.795479495,      -3.480728004,      -3.512986582,       0.212317106
          0,           0,         231,      -6.783041019,      -3.485490527,      -3.512994362,      0.2254976585
          0,           0,         232,      -6.769183631,      -3.492318084,      -3.511708455,      0.2408395141
          0,           0,         233,      -6.752845441,      -3.499361684,      -3.509414524,      0.2575564831
          0,           0,         234,       -6.73931442,      -3.507130836,      -3.507556237,      0.2721558031
          0,           0,         235,      -6.727358138,      -3.514867866,      -3.505918544,      0.2842228252
          0,           0,         236,      -6.716737095,      -3.524644264,      -3.503689617,      0.2955191876
          0,           0,         237,      -6.705803191,      -3.534025048,      -3.501348424,      0.3063455964
          0,           0,         238,      -6.698905019,      -3.543437545,      -3.500471582,      0.3137697569
          0,           0,         239,      -6.694552608,      -3.551896933,      -3.500787816,      0.3179571314
          0,           0,         240,      -6.692326172,      -3.561458963,      -3.500863504,      0.3205712641
          0,           0,         241,      -6.690472026,       -3.56911412,       -3.50161129,      0.3221767581
          0,           0,         242,      -6.692870349,      -3.575812514,      -3.503589047,        0.32020123
          0,           0,         243,      -6.697495605,      -3.579740592,      -3.507160071,      0.3154102426
          0,           0,         244,      -6.704537776,      -3.583201002,      -3.510633695,      0.3088708434
          0,           0,         245,      -6.712116463,      -3.584325476,      -3.514842096,      0.3011541775
          0,           0,         246,      -6.723915701,      -3.584292303,      -3.520150247,      0.2900025097
          0,           0,         247,      -6.737495013,      -3.581856678,      -3.526503544,      0.2764285341
          0,           0,         248,      -6.753039415,      -3.579828295,      -3.532821217,      0.2617796204
          0,           0,         249,      -6.767893284,      -3.576512747,      -3.539272735,       0.247047507
          0,           0,         250,      -6.787074691,      -3.573100425,      -3.546637756,      0.2290768486
          0,           0,         251,      -6.807452356,      -3.568496529,      -3.554692556,      0.2090952558
          0,           0,         252,      -6.828679514,      -3.565205196,      -3.561821054,      0.1894745237
          0,           0,         253,      -6.846184038,      -3.561473097,      -3.567729774,      0.1724355878
          0,           0,         254,      -6.867686558,      -3.558173732,      -3.574074303,       0.153085903
          0,           0,         255,      -6.887155657,       -3.55410963,      -3.579875288,      0.1345589854
          0,           0,         256,      -6.906017494,      -3.551919145,      -3.585682375,      0.1183739648
          0,           0,         257,      -6.920456474,      -3.549963193,       -3.59140121,      0.1048493596
          0,           0,         258,      -6.937879388,      -3.548932017,      -3.596333097,     0.09044918584
          0,           0,         259,         -6.950453,      -3.547191002,      -3.600100504,     0.07895783087
          0,           0,         260,      -6.960478317,      -3.547166145,      -3.603574795,     0.07185748645
          0,           0,         261,      -6.961119262,      -3.547042551,      -3.606151001,     0.07122326093
          0,           0,         262,      -6.965746944,       -3.54776931,      -3.609299038,     0.06903478303
          0,           0,         263,      -6.968200287,      -3.548243636,      -3.611607211,     0.06674577044
          0,           0,         264,      -6.968994482,      -3.550535576,      -3.613613203,     0.06785699915
          0,           0,         265,      -6.961618011,      -3.552828665,      -3.614457355,     0.07405760955
          0,           0,         266,      -6.959673275,      -3.555898823,      -3.616931778,     0.07736673636
          0,           0,         267,      -6.956877131,      -3.558063123,      -3.619148435,     0.07951983315
          0,           0,         268,       -6.95278019,      -3.562241122,      -3.620642281,     0.08451516849
          0,           0,         269,      -6.943185258,      -3.566435057,       -3.62083904,     0.09235235016
          0,           0,         270,      -6.939028122,      -3.571019353,      -3.622956684,     0.09715827267
          0,           0,         271,       -6.93628391,      -3.574837694,      -3.625782019,      0.0989318523
          0,           0,         272,      -6.931871753,      -3.580772058,      -3.627156882,      0.1037620445
          0,           0,         273,      -6.921018368,      -3.586107835,      -3.626458091,      0.1124848963
          0,           0,         274,      -6.916961252,      -3.591837153,      -3.627929611,      0.1168203142
          0,           0,         275,       -6.91331508,      -3.596332823,      -3.630078512,      0.1191288135
          0,           0,         276,      -6.909798998,      -3.603096675,      -3.631465696,      0.1228736765
          0,           0,         277,      -6.903355095,      -3.609339176,      -3.633358993,      0.1275356802
          0,           0,         278,      -6.901410724,      -3.615723921,      -3.635708631,      0.1296589639
          0,           0,         279,      -6.899694356,      -3.620274471,      -3.638408445,       0.130026883
          0,           0,         280,      -6.897679311,      -3.627030258,      -3.639926446,      0.1321162195
          0,           0,         281,      -6.892068136,      -3.632996084,      -3.640565165,      0.1358963303
          0,           0,         282,      -6.891754383,      -3.638900494,      -3.642916842,      0.1363750645
          0,           0,         283,      -6.892414422,       -3.64298075,      -3.645059087,       0.134462845
          0,           0,         284,      -6.893416065,      -3.649014632,      -3.646984675,      0.1336614088
          0,           0,         285,      -6.891490742,      -3.654055987,      -3.648098748,      0.1339966132
          0,           0,         286,      -6.895028027,      -3.658767714,      -3.651290455,      0.1307794489
          0,           0,         287,      -6.900047045,      -3.661414661,      -3.655090166,      0.1245730946
          0,           0,         288,      -6.904535686,      -3.666607176,       -3.65753079,      0.1203370765
          0,           0,         289,      -6.905258509,       -3.67041503,      -3.658296777,      0.1179827557
          0,           0,         290,      -6.912370656,      -3.674280993,      -3.662083235,      0.1112419193
          0,           0,         291,      -6.921399284,       -3.67618615,       -3.66606061,      0.1009858977
          0,           0,         292,      -6.929200941,      -3.680428437,      -3.668826594,     0.09352002075
          0,           0,         293,       -6.93204926,      -3.683502113,      -3.669619074,     0.08882468507
          0,           0,         294,       -6.94084724,       -3.68673599,      -3.673530043,      0.0803922567
          0,           0,         295,      -6.950619917,       -3.68822755,      -3.677194533,     0.06905468116
          0,           0,         296,      -6.958099031,      -3.692869765,      -3.679454685,      0.0617698157
          0,           0,         297,      -6.958408104,      -3.696284255,      -3.679729093,     0.05924722175
          0,           0,         298,      -6.964587116,      -3.700668118,      -3.682765673,     0.05323060163
          0,           0,         299,      -6.970649162,       -3.70356565,      -3.685126439,       0.045141791
          0,           0,         300,      -6.972956739,      -3.709915839,      -3.686093024,     0.04289874667
          0,           0,         301,      -6.967366434,      -3.715559043,       -3.68453983,     0.04614869569
          0,           0,         302,      -6.967666121,      -3.722146931,       -3.68586311,     0.04602782978
          0,           0,         303,      -6.967529634,      -3.726927783,      -3.686875397,     0.04419055195
          0,           0,         304,       -6.96333957,      -3.735371969,      -3.686648938,     0.04864349204
          0,           0,         305,      -6.952357187,      -3.743030938,       -3.68366912,     0.05774187898
          0,           0,         306,      -6.948141595,      -3.751458007,      -3.683785594,      0.0624558075
          0,           0,         307,      -6.944467592,      -3.757965279,      -3.684030624,     0.06460168423
          0,           0,         308,      -6.938054559,      -3.768571611,      -3.682982494,     0.07154108961
          0,           0,         309,      -6.926198309,      -3.777874048,      -3.679435968,     0.08199684423
          0,           0,         310,      -6.921314902,      -3.787527526,      -3.679703019,     0.08754299062
          0,           0,         311,      -6.918281144,      -3.794137684,       -3.68036305,     0.08946861852
          0,           0,         312,      -6.913451738,      -3.805071582,       -3.67953603,     0.09496663542
          0,           0,         313,      -6.904362793,      -3.813565578,      -3.676268348,      0.1030162934
          0,           0,         314,      -6.902464045,      -3.821944011,      -3.676940261,       0.105636618
          0,           0,         315,      -6.903152379,      -3.826380499,      -3.678193706,      0.1039551725
          0,           0,         316,      -6.903022488,      -3.835306271,      -3.677933712,      0.1047376537
          0,           0,         317,      -6.898417159,      -3.840275915,      -3.675559063,      0.1083595901
          0,           0,         318,      -6.900898904,       -3.84460014,      -3.676925716,      0.1065730876
          0,           0,         319,       -6.90594652,      -3.843904516,      -3.679333116,      0.1005133368
          0,           0,         320,      -6.909942929,      -3.847493308,      -3.679869662,     0.09721692456
          0,           0,         321,      -6.909245127,      -3.847262478,      -3.678079912,     0.09687288221
          0,           0,         322,      -6.915339628,      -3.846897855,       -3.67972952,     0.09145909362
          0,           0,         323,       -6.92500285,      -3.842282773,      -3.683588745,     0.08063903874
          0,           0,         324,      -6.932489428,      -3.843036969,      -3.684061687,      0.0738012221
          0,           0,         325,       -6.93181255,      -3.840022996,       -3.67987645,     0.07330572651
          0,           0,         326,       -6.93987032,      -3.837201558,      -3.680053445,     0.06609308712
          0,           0,         327,      -6.951178466,      -3.831443448,      -3.684132785,     0.05343548839
          0,           0,         328,      -6.959677459,      -3.832278874,      -3.683789685,     0.04573004456
          0,           0,         329,      -6.958008004,      -3.828815106,      -3.678658565,     0.04615106773
          0,           0,         330,      -6.966922068,      -3.827427787,      -3.678684176,     0.03831900889
          0,           0,         331,      -6.983335844,      -3.824200259,       -3.68677028,     0.02031849635
