"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
22, 4.264281094906237e-01, 4.931944036031207e-02, 7.058942912054302e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.097637992635379e+03, 2.039055197054151e+03, 1.682860182919602e+03, 0.000000000000000e+00, -5.785895116233729e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.327047557235717e-07, 1.808588520354789e-02, 4.259176664585891e-03, -0.000000000000000e+00, 0.000000000000000e+00
23, 4.273514396109306e-01, 4.952614881583379e-02, 7.042720251231893e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.085228898986234e+03, 2.034091559594493e+03, 1.682630598481430e+03, 0.000000000000000e+00, -6.158204741402625e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.326359543343846e-07, 1.756747942903213e-02, 3.726488185950688e-03, -0.000000000000000e+00, 0.000000000000000e+00
24, 4.283100974750702e-01, 4.971865562727581e-02, 7.027992947620085e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.073968458283943e+03, 2.029587383313577e+03, 1.682422856542218e+03, 0.000000000000000e+00, -6.496051370305701e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.325736942073445e-07, 1.697638561022977e-02, 3.214466825548451e-03, -0.000000000000000e+00, 0.000000000000000e+00
25, 4.293028572085217e-01, 4.989564838271852e-02, 7.014985760575681e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.064039673208370e+03, 2.025615869283347e+03, 1.682244121249271e+03, 0.000000000000000e+00, -6.793944379608909e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.325201239675364e-07, 1.635062359405694e-02, 2.731533587371585e-03, -0.000000000000000e+00, 0.000000000000000e+00
26, 4.303284281312176e-01, 5.005583775039022e-02, 7.003523229230945e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.055302148140065e+03, 2.022120859256025e+03, 1.682090112880821e+03, 0.000000000000000e+00, -7.056096054425905e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.324739623272358e-07, 1.571403836517576e-02, 2.281099765879172e-03, -0.000000000000000e+00, 0.000000000000000e+00
27, 4.313854569119477e-01, 5.019796517649910e-02, 6.993577992399683e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.047735856711158e+03, 2.019094342684463e+03, 1.681960962446838e+03, 0.000000000000000e+00, -7.283107245207670e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.324352496773158e-07, 1.509310768977625e-02, 1.865238401663443e-03, -0.000000000000000e+00, 0.000000000000000e+00
28, 4.324725301157377e-01, 5.032081044129063e-02, 6.984729576694573e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.040961095790783e+03, 2.016384438316313e+03, 1.681831424772788e+03, 0.000000000000000e+00, -7.486370172395527e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.323964193093716e-07, 1.446930133986993e-02, 1.479523526895475e-03, -0.000000000000000e+00, 0.000000000000000e+00
29, 4.335881771487786e-01, 5.042319902414729e-02, 6.977017342418553e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.035034688026884e+03, 2.014013875210753e+03, 1.681711051159688e+03, 0.000000000000000e+00, -7.664179987967910e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.323603344957960e-07, 1.377845697641929e-02, 1.117720410703081e-03, -0.000000000000000e+00, 0.000000000000000e+00
30, 4.347308735999328e-01, 5.050400922842501e-02, 6.971102483800313e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.030522925725379e+03, 2.012209170290151e+03, 1.681629737893908e+03, 0.000000000000000e+00, -7.799546242653287e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.323359581329310e-07, 1.301865041463241e-02, 7.829664352480268e-04, -0.000000000000000e+00, 0.000000000000000e+00
31, 4.358990449718645e-01, 5.056217901701485e-02, 6.967715212299408e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.027949677469185e+03, 2.011179870987674e+03, 1.681586624923495e+03, 0.000000000000000e+00, -7.876751324734023e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.323230333192598e-07, 1.228951514990068e-02, 4.827047476835566e-04, -0.000000000000000e+00, 0.000000000000000e+00
