"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
223, 6.793028572085218e-01, 1.371621109824350e-01, 6.935361580042134e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.127924570754358e+03, 2.051169828301742e+03, 1.723023630867087e+03, 0.000000000000000e+00, -4.877207917479177e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.446623242232702e-07, 1.213950472960805e-03, 2.028024479446937e-04, -0.000000000000000e+00, 0.000000000000000e+00
224, 6.803284281312175e-01, 1.373223003501067e-01, 6.916168562720321e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.114374234538376e+03, 2.045749693815350e+03, 1.723239526962369e+03, 0.000000000000000e+00, -5.283758205527946e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.447261845884047e-07, 1.200232395900222e-03, 1.742295502699096e-04, -0.000000000000000e+00, 0.000000000000000e+00
225, 6.813854569119479e-01, 1.374644277762156e-01, 6.902746204141822e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.104805498325770e+03, 2.041922199330307e+03, 1.723359994912283e+03, 0.000000000000000e+00, -5.570848680737696e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.447618161459201e-07, 1.217207470478406e-03, 1.504250922601909e-04, -0.000000000000000e+00, 0.000000000000000e+00
226, 6.824725301157376e-01, 1.375872730410071e-01, 6.896027368539896e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.099970392835849e+03, 2.039988157134339e+03, 1.723405172765074e+03, 0.000000000000000e+00, -5.715916190380398e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.447751783280818e-07, 1.171899502395424e-03, 1.198297584813917e-04, -0.000000000000000e+00, 0.000000000000000e+00
227, 6.835881771487785e-01, 1.376896616238638e-01, 6.878801219067308e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.087585753314854e+03, 2.035034301325941e+03, 1.723525433913464e+03, 0.000000000000000e+00, -6.087492119153488e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.448107468386148e-07, 1.084973566054538e-03, 8.801399909498788e-05, -0.000000000000000e+00, 0.000000000000000e+00
228, 6.847308735999329e-01, 1.377704718281415e-01, 6.862135728696514e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.075493369979829e+03, 2.030197347991931e+03, 1.723604719626743e+03, 0.000000000000000e+00, -6.450299495272488e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.448341956825538e-07, 1.025877400073993e-03, 6.169822104101475e-05, -0.000000000000000e+00, 0.000000000000000e+00
229, 6.858990449718645e-01, 1.378286416167313e-01, 6.853599213218561e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.069348084345052e+03, 2.027739233738020e+03, 1.723662060656909e+03, 0.000000000000000e+00, -6.634676296345086e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.448511539905412e-07, 9.696600001202291e-04, 3.808608232198363e-05, -0.000000000000000e+00, 0.000000000000000e+00
230, 6.870910707885338e-01, 1.378631751101270e-01, 6.847855011811919e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.065277509108288e+03, 2.026111003643314e+03, 1.723722700130115e+03, 0.000000000000000e+00, -6.756805630160377e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.448690874579899e-07, 9.055938668535261e-04, 1.675031306757432e-05, -0.000000000000000e+00, 0.000000000000000e+00
231, 6.883052890592394e-01, 1.378731487001556e-01, 6.845871329522757e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.064014031039864e+03, 2.025605612415945e+03, 1.723792083352927e+03, 0.000000000000000e+00, -6.794713720740092e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.448896063688589e-07, 8.682654874862326e-04, -1.935260936634191e-06, -0.000000000000000e+00, 0.000000000000000e+00
232, 6.895400010727119e-01, 1.378577167345681e-01, 6.855222958482468e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.071048347561727e+03, 2.028419339024691e+03, 1.723831770384424e+03, 0.000000000000000e+00, -6.583663355449708e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.449013429307130e-07, 7.995320566434496e-04, -1.832614677323333e-05, -0.000000000000000e+00, 0.000000000000000e+00
