"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
46, 1.536014864201557e+00, 2.762917263222520e-01, 7.221177634997791e-04, 5.434394099357350e-01, 1.002561826444782e-02, 5.292958991498138e+03, 2.035361234589744e+03, 1.642071988377168e+03, 3.789101518517215e-01, -6.064640730275009e-01, 7.525634147288239e+02, 1.388363335068531e+01
47, 1.537365561820589e+00, 2.763091761438344e-01, 7.224024285520313e-04, 5.426153509937456e-01, 4.047925002915793e-03, 5.295223272051342e+03, 2.036570257058465e+03, 1.642399945347918e+03, 3.780949228025928e-01, -5.973956070311917e-01, 7.511261445803175e+02, 5.603421089031180e+00
48, 1.538719793040709e+00, 2.763119051635972e-01, 7.227101836926976e-04, 5.415970481744762e-01, -1.817313599053548e-03, 5.297579029866046e+03, 2.037856426695465e+03, 1.642737349086237e+03, 3.771775514590916e-01, -5.877484863859016e-01, 7.493972831642951e+02, -2.514581418747913e+00
49, 1.540076067587446e+00, 2.763000811182854e-01, 7.230953920015214e-04, 5.406596532231824e-01, -7.570586773869978e-03, 5.300685480587822e+03, 2.039407911619445e+03, 1.643112229872690e+03, 3.763159869146131e-01, -5.761113260841759e-01, 7.477016991169609e+02, -1.046969301369030e+01
50, 1.541432900309867e+00, 2.762739148791631e-01, 7.235286582956711e-04, 5.401248840725711e-01, -1.322503302929869e-02, 5.304863549047442e+03, 2.041254824009218e+03, 1.643615426085115e+03, 3.757368869778258e-01, -5.622582649226814e-01, 7.465148448229789e+02, -1.827851996968759e+01
51, 1.542788813156414e+00, 2.762336591651268e-01, 7.238317230820592e-04, 5.389052026777486e-01, -1.875773639305481e-02, 5.306540551372109e+03, 2.042274157366079e+03, 1.643747674472158e+03, 3.748309585104653e-01, -5.546125923857783e-01, 7.445172482674596e+02, -2.591449890201661e+01
52, 1.544142337048681e+00, 2.761796071978347e-01, 7.242307016730089e-04, 5.376073269211418e-01, -2.417718126975368e-02, 5.309303254014392e+03, 2.043745080386622e+03, 1.644025371095024e+03, 3.738419748580974e-01, -5.435796994991066e-01, 7.423150187906175e+02, -3.338325924861123e+01
53, 1.545492013655102e+00, 2.761120913121744e-01, 7.246291415734319e-04, 5.362024640293139e-01, -2.948165432746238e-02, 5.312219010755734e+03, 2.045293165208439e+03, 1.644366020511549e+03, 3.728074342022992e-01, -5.319680422063372e-01, 7.399681206099779e+02, -4.068516243142947e+01
54, 1.546836397067922e+00, 2.760314815334582e-01, 7.250262614537967e-04, 5.346340051794402e-01, -3.466638562111132e-02, 5.315141050979838e+03, 2.046877142882541e+03, 1.644738131131586e+03, 3.716899884732450e-01, -5.200871648462171e-01, 7.373995034433804e+02, -4.781397235404897e+01
55, 1.548174055387944e+00, 2.759381841306972e-01, 7.254936062676239e-04, 5.328308222163780e-01, -3.972323151351067e-02, 5.318499363972634e+03, 2.048698398600106e+03, 1.645141132641704e+03, 3.704017697809959e-01, -5.064265456496324e-01, 7.344390324231535e+02, -5.475338606755047e+01
56, 1.549503572222434e+00, 2.758326401531697e-01, 7.259887051053610e-04, 5.307973453510735e-01, -4.464763719429928e-02, 5.322052534699411e+03, 2.050654719736771e+03, 1.645589093295115e+03, 3.689644084410421e-01, -4.917528467195551e-01, 7.311371948604078e+02, -6.149907964176890e+01
