"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
180, 6.740787034933610e-01, 4.128620934573118e-02, 7.749126174611587e-04, 9.280952613080014e-02, -6.446496902323963e-03, 5.603121311750794e+03, 2.239014681743600e+03, 1.683305457246988e+03, 5.969237143632024e-02, 9.210711120705951e-01, 1.197677312764262e+02, -8.318998500043245e+00
181, 6.733577685264444e-01, 4.134011599123750e-02, 7.752054885591082e-04, 8.561550456870121e-02, -6.922531143287743e-03, 5.604981160060089e+03, 2.240088985225479e+03, 1.683476870824665e+03, 5.508868060595103e-02, 9.291290968038671e-01, 1.104423353965626e+02, -8.929930509334765e+00
182, 6.726686749243869e-01, 4.140021868003139e-02, 7.754852327281848e-04, 7.736761779770950e-02, -7.306199607055746e-03, 5.606728137926006e+03, 2.241133745476724e+03, 1.683654460286450e+03, 4.981985692863772e-02, 9.369654878204302e-01, 9.976671963891233e+01, -9.421455494841950e+00
183, 6.720123690663486e-01, 4.146716859136258e-02, 7.758563354605161e-04, 6.785785216038501e-02, -7.500984142255392e-03, 5.609128133280540e+03, 2.242449754361986e+03, 1.683837325647340e+03, 4.374428493996194e-02, 9.468364225098945e-01, 8.746187800362215e+01, -9.668006561811625e+00
184, 6.713897803252314e-01, 4.154158725864788e-02, 7.761088196671364e-04, 5.698004602987431e-02, -7.385037169620105e-03, 5.610673144911507e+03, 2.243418535917408e+03, 1.684016752190289e+03, 3.680100478297247e-02, 9.541029231916267e-01, 7.341759890618478e+01, -9.515466107945349e+00
185, 6.708018177854641e-01, 4.162406502841320e-02, 7.760033710342094e-04, 4.464905346687834e-02, -6.795641419326394e-03, 5.609653946640100e+03, 2.243335880239274e+03, 1.684183534159044e+03, 2.892958259632983e-02, 9.534829510852716e-01, 5.753719008639465e+01, -8.757231827832889e+00
186, 6.702493669493753e-01, 4.171515959155004e-02, 7.763877455028200e-04, 3.037840218046075e-02, -5.439509470608538e-03, 5.612209335127900e+03, 2.244638383557714e+03, 1.684327097396291e+03, 1.975792168375414e-02, 9.632525851151943e-01, 3.912787438548051e+01, -7.006176362412434e+00
187, 6.697332864713826e-01, 4.181539458445947e-02, 7.767967451065621e-04, 1.297035071802827e-02, -2.738851745093154e-03, 5.615001069876582e+03, 2.245955182831433e+03, 1.684427841087906e+03, 8.482157058993453e-03, 9.731294482394263e-01, 1.669722588274875e+01, -3.525828039762750e+00
188, 6.692544049584068e-01, 4.192525825769326e-02, 7.764563219117467e-04, -7.829288232333854e-03, 1.956176956255403e-03, 5.612505908548290e+03, 2.244985588648946e+03, 1.684438850116282e+03, 5.165858398004318e-03, 9.658568523186915e-01, -1.008335950315534e+01, 2.519365096337956e+00
189, 6.688135178736484e-01, 4.204520220969706e-02, 7.761703005517251e-04, -3.218561295735012e-02, 9.559313090418804e-03, 5.610632178308223e+03, 2.243962395342077e+03, 1.684291574716790e+03, 2.150147783086137e-02, 9.581822276106740e-01, -4.146720498642066e+01, 1.231599957332013e+01
190, 6.684113845791618e-01, 4.217564018322898e-02, 7.755333074450163e-04, -5.974184065116216e-02, 2.122736958606421e-02, 5.606572326066410e+03, 2.241592304738062e+03, 1.683894563683229e+03, 4.063999578478136e-02, 9.404049847498218e-01, -7.703323645502837e+01, 2.737131904237290e+01
191, 6.680487255505291e-01, 4.231694692198729e-02, 7.748669377354059e-04, -9.261052890783393e-02, 3.971386048477579e-02, 5.602912681481450e+03, 2.238544261125551e+03, 1.683051004913383e+03, 6.466302709917474e-02, 9.175426471420215e-01, -1.195179770845478e+02, 5.125249065451402e+01
192, 6.677262197944259e-01, 4.246945708494609e-02, 7.725644468492493e-04, -1.320063163425555e-01, 6.915042678484341e-02, 5.588525026862326e+03, 2.229660988985147e+03, 1.681368239624716e+03, 9.596183474470404e-02, 8.509122466115674e-01, -1.708677080351251e+02, 8.950764828340172e+01
193, 6.674445024969816e-01, 4.263346421588424e-02, 7.694660456958832e-04, -1.732677202333914e-01, 1.127653112914486e-01, 5.569969063464499e+03, 2.216879216237769e+03, 1.678461151109489e+03, 1.337752903171677e-01, 7.550405200465983e-01, -2.251791631386321e+02, 1.465500809583701e+02
194, 6.672041629276012e-01, 4.280921976561178e-02, 7.651777135242306e-04, -2.089634260834899e-01, 1.731049525784296e-01, 5.544781458786093e+03, 2.198667109751589e+03, 1.674001681148593e+03, 1.768094803336556e-01, 6.184377085490093e-01, -2.730913647772789e+02, 2.262284297083725e+02
195, 6.670057426193772e-01, 4.299693216446060e-02, 7.582435486928738e-04, -2.296347562075107e-01, 2.510913349459873e-01, 5.502705115716134e+03, 2.170543315045540e+03, 1.667702022383890e+03, 2.241621331794827e-01, 4.074906975734930e-01, -3.028509198705021e+02, 3.311486597925434e+02
196, 6.668497338433824e-01, 4.319676594272315e-02, 7.481842555858520e-04, -2.241590630684701e-01, 3.430362042114010e-01, 5.440228740914171e+03, 2.131203857605076e+03, 1.659491953936354e+03, 2.742659338261904e-01, 1.124188181489414e-01, -2.996040900285270e+02, 4.584916103891985e+02
197, 6.667365783900637e-01, 4.340884089689942e-02, 7.362586155440662e-04, -1.842299545630906e-01, 4.392376304475318e-01, 5.366001772229070e+03, 2.084772806040716e+03, 1.649631974790992e+03, 3.249228936501529e-01, -2.358446948770953e-01, -2.502245144214060e+02, 5.965806323678162e+02
198, 6.666666666666666e-01, 1.308996938995748e-01, 7.278870120155686e-04, -1.050841859056677e-01, 5.034936116567374e-01, 5.313602999794013e+03, 2.052751758084029e+03, 1.642975869469167e+03, 3.556218484150272e-01, -4.760236758918364e-01, -1.443688157241361e+02, 6.917194610500459e+02
199, 6.666409855899192e-01, 1.311333206928126e-01, 7.126923027114138e-04, -7.542862050593978e-03, 5.758486090595308e-01, 5.218261565641981e+03, 1.994232619147433e+03, 1.630168397627897e+03, 4.082654383391426e-01, -9.149558176088538e-01, -1.058361655078554e+01, 8.079904986608306e+02
200, 6.666604665428680e-01, 1.313730331495132e-01, 7.005538637327271e-04, 1.062901479885777e-01, 6.116346995638162e-01, 5.142508761218507e+03, 1.946977817321401e+03, 1.619116852585476e+03, 4.492494224052838e-01, -1.269398000949697e+00, 1.517230201575608e+02, 8.730730515207964e+02
201, 6.667253334319114e-01, 1.316186908609052e-01, 6.894915173390526e-04, 2.159260887726054e-01, 6.122645965655094e-01, 5.071235308708850e+03, 1.906232427314508e+03, 1.610666581735155e+03, 4.786061402228104e-01, -1.575015301986850e+00, 3.131671432390157e+02, 8.879943859620140e+02
202, 6.668357508798048e-01, 1.318700568970782e-01, 6.826200476216419e-04, 3.079955013980379e-01, 5.872440867910220e-01, 5.026493776330211e+03, 1.881765417808029e+03, 1.605998615722435e+03, 4.944817567928063e-01, -1.758534011920790e+00, 4.511960972595865e+02, 8.602795784229821e+02
