"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         231,      -6.405608674,      -2.775128108,      -3.138694537,      0.6070929831
          0,           0,         232,      -6.392199701,       -2.77208612,         -3.137745,      0.6164290138
          0,           0,         233,      -6.352973816,      -2.753822903,      -3.126744485,      0.6567172012
          0,           0,         234,       -6.28533715,      -2.718677189,      -3.102307269,      0.7307449468
          0,           0,         235,      -6.281635654,       -2.72326101,       -3.11130369,      0.7346069412
          0,           0,         236,      -6.253308965,      -2.711209588,      -3.105970285,      0.7665493148
          0,           0,         237,      -6.231400971,      -2.702633791,      -3.103565049,         0.7916408
          0,           0,         238,      -6.189072869,      -2.679917005,      -3.089700984,      0.8378785101
          0,           0,         239,      -6.195567138,      -2.692819917,      -3.104185737,      0.8318701433
          0,           0,         240,      -6.176838683,      -2.688949908,      -3.104018032,      0.8505128938
          0,           0,         241,      -6.158968103,      -2.687094441,      -3.104583623,      0.8671813392
          0,           0,         242,       -6.12584798,      -2.674167792,      -3.096613363,      0.8990905379
          0,           0,         243,      -6.128424243,      -2.691622309,      -3.108635823,      0.8942881663
          0,           0,         244,      -6.142314411,      -2.722966189,      -3.127911207,      0.8757834737
          0,           0,         245,      -6.142690237,      -2.741148238,      -3.135710172,      0.8694400954
          0,           0,         246,      -6.130676486,      -2.745290686,      -3.134747708,      0.8758234844
          0,           0,         247,      -6.104959251,      -2.733960398,      -3.125980224,      0.8995877846
          0,           0,         248,      -6.102129724,      -2.747637233,      -3.132652136,      0.9019314311
          0,           0,         249,      -6.089779185,      -2.747557435,      -3.129988347,      0.9158224353
          0,           0,         250,      -6.068815244,      -2.732892799,      -3.115946928,      0.9414975003
          0,           0,         251,      -6.070198655,      -2.744666388,      -3.119698628,      0.9443542828
          0,           0,         252,      -6.081713408,      -2.769504841,      -3.133448179,      0.9335376908
          0,           0,         253,      -6.088831663,      -2.784277954,      -3.136229641,      0.9256894428
          0,           0,         254,      -6.090392758,      -2.787870326,      -3.128921032,      0.9231206425
          0,           0,         255,       -6.08376455,      -2.777420512,      -3.110996446,       0.930902169
          0,           0,         256,      -6.074415174,      -2.759587202,      -3.088780319,      0.9443545547
          0,           0,         257,      -6.081735989,      -2.769281562,      -3.093296772,      0.9406229355
          0,           0,         258,      -6.096968719,      -2.792517943,      -3.110758992,      0.9249847241
          0,           0,         259,      -6.114535261,      -2.819543383,      -3.131481808,       0.902933184
          0,           0,         260,       -6.13050262,      -2.843573403,      -3.149441518,      0.8802902587
          0,           0,         261,      -6.142579064,      -2.861303744,      -3.162214599,       0.861534885
          0,           0,         262,      -6.157015068,      -2.878589808,      -3.173460016,      0.8390498749
          0,           0,         263,      -6.173754958,      -2.894521692,      -3.182421536,      0.8119862668
          0,           0,         264,      -6.191305752,      -2.907765597,      -3.188701488,       0.781112387
          0,           0,         265,      -6.206692204,      -2.916227145,      -3.192661098,        0.75041807
          0,           0,         266,      -6.218539448,      -2.924738524,      -3.198832242,      0.7261198186
          0,           0,         267,      -6.227796776,      -2.931831991,      -3.204523806,      0.7065581306
          0,           0,         268,      -6.234281964,      -2.936803997,      -3.208535594,       0.692140671
          0,           0,         269,      -6.239852791,      -2.940770564,      -3.211794155,      0.6792557904
          0,           0,         270,       -6.24511688,      -2.944188291,      -3.214708877,      0.6666600056
          0,           0,         271,      -6.250091492,      -2.947130598,      -3.217351171,      0.6543392389
          0,           0,         272,      -6.254789091,      -2.949657816,       -3.21977865,      0.6422946226
          0,           0,         273,       -6.25921909,      -2.951819635,      -3.222037773,      0.6305394814
          0,           0,         274,      -6.263389133,      -2.953657337,      -3.224166018,       0.619096859
          0,           0,         275,      -6.267306161,      -2.955205714,      -3.226193606,      0.6079971771
          0,           0,         276,      -6.270977284,      -2.956494483,      -3.228144864,      0.5972759871
          0,           0,         277,      -6.274410465,      -2.957549448,      -3.230039307,      0.5869717541
          0,           0,         278,      -6.277614981,      -2.958393585,      -3.231892476,      0.5771237211
          0,           0,         279,      -6.281164202,      -2.958850812,      -3.234280853,      0.5658518685
          0,           0,         280,      -6.284682096,      -2.958497462,      -3.237405387,      0.5544908652
          0,           0,         281,      -6.287679801,       -2.95680695,      -3.241552085,       0.545843845
          0,           0,         282,      -6.290134506,      -2.953280549,      -3.247052063,       0.543688605
          0,           0,         283,      -6.292347026,      -2.947696036,      -3.253895857,      0.5518636593
          0,           0,         284,      -6.295890591,      -2.940166002,      -3.261188307,      0.5705163466
          0,           0,         285,      -6.302891458,      -2.930624129,      -3.266270161,      0.5958012709
          0,           0,         286,      -6.314409712,      -2.917847799,      -3.264234918,      0.6232643481
